Comuna,Región
La Granja,Metropolitana
La Higuera,Coquimbo
La Ligua,Valparaíso
La Pintana,Metropolitana
La Reina,Metropolitana
La Serena,Coquimbo
La Unión,Los Ríos
Lago Ranco,Los Ríos
Lago Verde,Aysén
Laguna Blanca,Magallanes
Laja,Biobío
Lampa,Metropolitana
Lanco,Los Ríos
Las Cabras,O'Higgins
Las Condes,Metropolitana
Lautaro,La Araucanía
Lebu,Biobío
Licantén,Maule
Limache,Valparaíso
Linares,Maule
Litueche,O'Higgins
Llanquihue,Los Lagos
Llay-Llay,Valparaíso
Lo Barnechea,Metropolitana
Lo Espejo,Metropolitana
Lo Prado,Metropolitana
Lolol,O'Higgins
Loncoche,La Araucanía
Longaví,Maule
Lonquimay,La Araucanía
Los Álamos,Biobío
Los Andes,Valparaíso
Los Ángeles,Biobío
Los Lagos,Los Ríos
Los Muermos,Los Lagos
Los Sauces,La Araucanía
Los Vilos,Coquimbo
Lota,Biobío
Lumaco,La Araucanía
Machalí,O'Higgins
Macul,Metropolitana
Máfil,Los Ríos
Maipú,Metropolitana
Malloa,O'Higgins
Marchigüe,O'Higgins
María Elena,Antofagasta
María Pinto,Metropolitana
Mariquina,Los Ríos
Maule,Maule
Maullín,Los Lagos
Mejillones,Antofagasta
Melipeuco,La Araucanía
Melipilla,Metropolitana
Molina,Maule
Monte Patria,Coquimbo
Mostazal,O'Higgins
Mulchén,Biobío
Nacimiento,Biobío
Nancagua,O'Higgins
Natales,Magallanes
Navidad,O'Higgins
Negrete,Biobío
Ninhue,Ñuble
Nogales,Valparaíso
Nueva Imperial,La Araucanía
Ñiquén,Ñuble
Ñuñoa,Metropolitana
O'Higgins,Aysén
Olivar,O'Higgins
Ollagüe,Antofagasta
Olmué,Valparaíso
Osorno,Los Lagos
Ovalle,Coquimbo
Padre Hurtado,Metropolitana
Padre Las Casas,La Araucanía
Paihuano,Coquimbo
Paillaco,Los Ríos
Paine,Metropolitana
Palena,Los Lagos
Palmilla,O'Higgins
Panguipulli,Los Ríos
Panquehue,Valparaíso
Papudo,Valparaíso
Paredones,O'Higgins
Parral,Maule
Pedro Aguirre Cerda,Metropolitana
Pelarco,Maule
Pelluhue,Maule
Pemuco,Ñuble
Pencahue,Maule
Penco,Biobío
Peñaflor,Metropolitana
Peñalolén,Metropolitana
Peralillo,O'Higgins
Perquenco,La Araucanía
Petorca,Valparaíso
Peumo,O'Higgins
Pica,Tarapacá
Pichidegua,O'Higgins
Pichilemu,O'Higgins
Pinto,Ñuble
Pirque,Metropolitana
Pitrufquén,La Araucanía
Placilla,O'Higgins
Portezuelo,Ñuble
Porvenir,Magallanes
Pozo Almonte,Tarapacá
Primavera,Magallanes
Providencia,Metropolitana
Puchuncaví,Valparaíso
Pucón,La Araucanía
Pudahuel,Metropolitana
Puente Alto,Metropolitana
Puerto Montt,Los Lagos
Puerto Octay,Los Lagos
Puerto Varas,Los Lagos
Pumanque,O'Higgins
Punitaqui,Coquimbo
Punta Arenas,Magallanes
Puqueldón,Los Lagos
Purén,La Araucanía
Purranque,Los Lagos
Putaendo,Valparaíso
Putre,Arica y Parinacota
Puyehue,Los Lagos
Queilén,Los Lagos
Quellón,Los Lagos
Quemchi,Los Lagos
Quilaco,Biobío
Quilicura,Metropolitana
Quilleco,Biobío
Quillón,Ñuble
Quillota,Valparaíso
Quilpué,Valparaíso
Quinchao,Los Lagos
Quinta de Tilcoco,O'Higgins
Quinta Normal,Metropolitana
Quintero,Valparaíso
Quirihue,Ñuble
Rancagua,O'Higgins
Ránquil,Ñuble
Rauco,Maule
Recoleta,Metropolitana
Renaico,La Araucanía
Renca,Metropolitana
Rengo,O'Higgins
Requínoa,O'Higgins
Retiro,Maule
Rinconada,Valparaíso
Río Bueno,Los Ríos
Río Claro,Maule
Río Hurtado,Coquimbo
Río Ibáñez,Aysén
Río Negro,Los Lagos
Río Verde,Magallanes
Romeral,Maule
Saavedra,La Araucanía
Sagrada Familia,Maule
Salamanca,Coquimbo
San Antonio,Valparaíso
San Bernardo,Metropolitana
San Carlos,Ñuble
San Clemente,Maule
San Esteban,Valparaíso
San Fabián,Ñuble
San Felipe,Valparaíso
San Fernando,O'Higgins
San Gregorio,Magallanes
San Ignacio,Ñuble
San Javier,Maule
San Joaquín,Metropolitana
San José de Maipo,Metropolitana
San Juan de la Costa,Los Lagos
San Miguel,Metropolitana
San Nicolás,Ñuble
San Pablo,Los Lagos
San Pedro,Metropolitana
San Pedro de Atacama,Antofagasta
San Pedro de La Paz,Biobío
San Rafael,Maule
San Ramón,Metropolitana
San Rosendo,Biobío
San Vicente,O'Higgins
Santa Bárbara,Biobío
Santa Cruz,O'Higgins
Santa Juana,Biobío
Santa María,Valparaíso
Santiago,Metropolitana
Santo Domingo,Valparaíso
Sierra Gorda,Antofagasta
Talagante,Metropolitana
Talca,Maule
Talcahuano,Biobío
Taltal,Antofagasta
Temuco,La Araucanía
Teno,Maule
Teodoro Schmidt,La Araucanía
Tierra Amarilla,Atacama
Til Til,Metropolitana
Timaukel,Magallanes
Tirúa,Biobío
Tocopilla,Antofagasta
Toltén,La Araucanía
Tomé,Biobío
Torres del Paine,Magallanes
Tortel,Aysén
Traiguén,La Araucanía
Treguaco,Ñuble
Tucapel,Biobío
Valdivia,Los Ríos
Vallenar,Atacama
Valparaíso,Valparaíso
Vichuquén,Maule
Victoria,La Araucanía
Vicuña,Coquimbo
Vilcún,La Araucanía
Villa Alegre,Maule
Villa Alemana,Valparaíso
Villarrica,La Araucanía
Viña del Mar,Valparaíso
Vitacura,Metropolitana
Yerbas Buenas,Maule
Yumbel,Biobío
Yungay,Ñuble
Zapallar,Valparaíso
